ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw
0,stairs_up,56.3252182,2.423929,12.378072,7.315781955372871,2.0330825749773003,7.315781955372846,0.4167776689520078,2.917443682664055,59471217.65170836,-10.277173,-3.728018,-6.395035600704639,1.5538845558560477,-6.395035600704647,0.4167776689520078,2.0838883447600387,50585541.851527914,-2.132005,4.003192,1.334037252495596,1.1250820540127646,1.3340372524955955,2.917443682664055,4.167776689520077,18577287.92149526
1,stairs_up,56.5259552,2.423929,12.378072,7.449601577216676,2.156313759980449,7.449601577216667,1.6671106758080312,3.3342213516160624,61993546.97075606,-10.277173,-3.728018,-6.312762128009395,1.4947371560033544,-6.312762128009394,0.4167776689520078,2.0838883447600387,46205187.328914836,-2.132005,4.003192,1.28466473752202,1.0874966821752001,1.2846647375220208,0.4167776689520078,4.167776689520077,21057253.187057372
2,stairs_up,56.7266884,2.423929,12.378072,7.507501426306518,2.1106707938694402,7.507501426306517,1.2503330068560234,2.0838883447600387,49323493.99424263,-10.277173,-3.728018,-6.385881614210217,1.4588902627409996,-6.385881614210213,0.4167776689520078,2.0838883447600387,43343660.9941739,-2.132005,4.003192,1.449166728126835,0.9851998247739822,1.4491667281268348,2.917443682664055,4.167776689520077,18853746.166663725
3,stairs_up,56.9274254,2.423929,12.378072,7.479230149148561,2.1132651473011603,7.479230149148572,1.2503330068560234,2.500666013712047,54790497.36391041,-10.277173,-3.728018,-6.417570009982385,1.4444494081459227,-6.417570009982376,0.4167776689520078,2.0838883447600387,45757406.01784896,-2.132005,4.003192,1.5111946541397534,0.9903711941074369,1.5111946541397527,3.75099902056807,3.75099902056807,16520914.941820096
4,stairs_up,57.1281624,2.423929,12.378072,7.403966533176747,2.077200270558159,7.403966533176753,1.6671106758080312,4.167776689520077,67259583.61257188,-10.277173,-3.728018,-6.6451003282442755,1.566427949069884,-6.6451003282442604,1.6671106758080312,4.167776689520077,59387624.86035204,-2.132005,4.09412,1.5521297651203758,1.0232072809470503,1.5521297651203774,3.75099902056807,5.001332027424094,24584185.805444233
5,stairs_up,57.3289032,2.423929,10.707881,7.260471647093364,1.929803413599151,7.260471647093362,0.4167776689520078,3.75099902056807,57667171.06474316,-10.277173,-3.397808,-6.502196968878449,1.5969809064209524,-6.502196968878439,0.8335553379040156,2.0838883447600387,46373178.223873176,-2.084148,4.180261,1.558754642395772,0.9968245901842072,1.5587546423957728,0.8335553379040156,3.75099902056807,18766075.05054236
6,stairs_up,57.5296402,4.012764,10.707881,7.441473289489137,1.6159820568322818,7.44147328948914,1.2503330068560234,3.3342213516160624,46758593.91259482,-10.277173,-3.318845,-6.2986075220199655,1.7345658695975168,-6.298607522019962,0.8335553379040156,1.6671106758080312,43269432.09827229,-0.732204,4.180261,1.5074585983558426,0.8922144257040339,1.5074585983558437,3.3342213516160624,3.75099902056807,18257968.881483164
7,stairs_up,57.7303772,4.414758,11.339586,7.605646504403993,1.7210323724665557,7.605646504403988,1.6671106758080312,4.167776689520077,64630200.91139475,-10.277173,-3.318845,-6.354276123899002,1.7983459014923833,-6.354276123899011,1.6671106758080312,3.75099902056807,58154066.90711109,-0.732204,4.180261,1.5281003799177921,0.891584608475004,1.5281003799177924,2.0838883447600387,3.75099902056807,19481020.892720416
8,stairs_up,57.9311142,4.414758,11.339586,7.489123208455666,1.6564091966729713,7.489123208455663,0.8335553379040156,1.6671106758080312,52230259.175034955,-10.231709,-3.318845,-6.09891431884909,1.557443106503732,-6.098914318849093,0.4167776689520078,1.6671106758080312,45428078.80990147,-0.732204,4.180261,1.413240678214915,0.9126029091558949,1.4132406782149165,3.3342213516160624,3.3342213516160624,15293516.05505735
9,stairs_up,58.1318512,4.197011,11.339586,7.439750692307692,1.7112554347708664,7.43975069230768,0.8335553379040156,2.917443682664055,43855715.55709449,-10.231709,-3.318845,-6.197787209042866,1.470207241516454,-6.197787209042855,0.4167776689520078,1.6671106758080312,40434594.19651112,-0.732204,4.180261,1.536262388725778,0.8909455352984392,1.5362623887257807,3.3342213516160624,3.3342213516160624,17895220.67520581
